1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
828,403,1169,223,254,174,626,0.3447,2.0546,1.41184,0.87795,0.27796,79.63,33.50,30.00,44.60,50.80,78.25,1
868,529,1003,115,306,269,531,0.5274,1.6408,1.15553,0.37582,0.50659,77.75,52.38,43.88,23.00,61.20,66.38,1
1259,494,647,121,357,541,259,0.7635,2.5486,0.51390,0.33894,2.08880,58.13,77.25,19.88,24.20,71.40,32.38,1
688,457,1255,255,171,225,575,0.3641,1.5055,1.82413,1.49123,0.39130,81.38,24.50,38.50,51.00,34.20,71.88,1
840,639,921,355,239,333,467,0.6938,1.3146,1.09643,1.48536,0.71306,64.00,48.88,43.88,71.00,47.80,58.38,1
900,785,715,251,250,587,213,1.0979,1.1465,0.79444,1.00400,2.75587,43.50,54.13,41.63,50.20,50.00,26.63,1
1074,735,591,121,194,318,482,1.2437,1.4612,0.55028,0.62371,0.65975,45.38,71.50,37.25,40.00,38.80,60.25,1
729,802,869,266,248,297,503,0.9229,0.9090,1.19204,1.07258,0.59046,56.38,47.75,56.63,53.20,49.60,62.88,1
839,756,805,160,269,582,218,0.9391,1.1098,0.95948,0.59480,2.66972,63.88,63.25,58.38,32.00,53.80,27.25,1
875,292,1233,156,316,265,535,0.2368,2.9966,1.40914,0.49367,0.49533,91.13,37.00,27.63,31.20,63.20,66.88,1
1103,460,837,166,249,378,422,0.5496,2.3978,0.75884,0.66667,0.89573,62.38,57.75,19.88,33.20,49.80,52.75,1
1002,698,700,120,365,491,309,0.9971,1.4355,0.69860,0.32877,1.58900,54.38,66.88,41.63,24.00,73.00,38.63,1
870,695,835,166,224,473,327,0.8323,1.2518,0.95977,0.74107,1.44648,57.63,53.25,44.50,33.20,44.80,40.88,1
1123,689,588,104,272,408,392,1.1718,1.6299,0.52360,0.38235,1.04082,44.25,70.75,30.38,20.80,54.40,49.00,1
1253,494,653,268,299,337,463,0.7565,2.5364,0.52115,0.89632,0.72786,47.88,66.25,9.63,53.60,59.80,57.88,1
1305,414,681,161,140,308,492,0.6079,3.1522,0.52184,1.15000,0.62602,56.00,70.88,7.75,32.20,28.00,61.50,1
748,658,994,221,289,301,499,0.6620,1.1368,1.32888,0.76471,0.60321,72.75,48.50,55.00,44.20,57.80,62.38,1
779,837,784,373,286,479,321,1.0676,0.9307,1.00642,1.30420,1.49221,45.88,47.88,50.50,74.60,57.20,40.13,1
586,876,938,321,400,311,489,0.9339,0.6689,1.60068,0.80250,0.63599,59.00,41.75,68.50,64.20,80.00,61.13,1
934,620,846,196,312,220,580,0.7329,1.5065,0.90578,0.62821,0.37931,60.63,54.88,38.13,39.20,62.40,72.50,1
825,751,824,123,365,433,367,0.9114,1.0985,0.99879,0.33699,1.17984,53.38,50.38,47.25,29.20,73.00,45.88,1
1128,599,673,222,308,321,479,0.8900,1.8831,0.59663,0.72078,0.67015,46.00,61.88,20.88,44.40,61.60,59.88,1
1001,352,1047,321,370,262,538,0.3362,2.8438,1.04595,0.86757,0.48699,68.88,38.00,12.88,64.20,74.00,67.25,1
1162,400,838,298,380,299,501,0.4773,2.9050,0.72117,0.78421,0.59681,67.25,62.50,17.25,59.60,76.00,62.63,1
1285,470,645,417,236,408,392,0.7287,2.7340,0.50195,1.76695,1.04082,54.13,73.50,12.88,83.40,47.20,49.00,1
1152,417,831,338,525,276,524,0.5018,2.7626,0.72135,0.64381,0.52672,53.00,49.13,5.13,67.60,85.00,65.50,1
923,708,769,212,201,385,415,0.9207,1.3037,0.83315,1.05473,0.92771,50.88,54.75,39.38,42.40,40.20,51.88,1
712,794,894,115,309,323,477,0.8881,0.8967,1.25562,0.37217,0.67715,55.88,44.13,55.13,23.00,61.80,59.63,1
1069,510,821,195,311,263,537,0.6212,2.0961,0.76801,0.62701,0.48976,58.88,56.25,22.63,39.00,62.20,67.13,1
492,1030,878,195,276,316,484,1.1731,0.4777,1.78455,0.70652,0.65289,40.63,30.88,69.38,39.00,55.20,60.50,1
1208,633,559,316,295,516,284,1.1324,1.9084,0.46275,1.07119,1.81690,45.63,75.75,24.75,63.20,59.00,35.50,1
661,774,965,272,249,258,542,0.8021,0.8540,1.45991,1.09237,0.47601,55.38,34.75,52.13,54.40,49.80,67.75,1
940,542,918,148,325,179,621,0.5904,1.7343,0.97660,0.45538,0.28824,64.13,49.38,31.88,29.60,65.00,77.63,1
789,747,864,214,340,67,733,0.8646,1.0562,1.09506,0.62941,0.09141,60.63,52.63,54.00,42.80,68.00,91.63,1
1297,705,398,267,280,565,235,1.7714,1.8397,0.30686,0.95357,2.40426,42.13,92.38,30.25,53.40,56.00,29.38,1
1126,564,710,235,283,559,241,0.7944,1.9965,0.63055,0.83039,2.31950,57.38,68.63,27.88,47.00,56.60,30.13,1
876,882,642,266,410,362,438,1.3738,0.9932,0.73288,0.64878,0.82648,32.13,51.88,42.38,53.20,82.00,54.75,1
966,342,1092,250,156,169,631,0.3132,2.8246,1.13043,1.60256,0.26783,81.00,44.50,23.75,50.00,31.20,78.88,0
992,508,900,315,123,288,512,0.5644,1.9528,0.90726,2.56098,0.56250,78.00,65.50,41.50,63.00,24.60,64.00,0
773,684,943,297,237,662,138,0.7253,1.1301,1.21992,1.25316,4.79710,64.25,46.38,49.75,59.40,47.40,17.25,0
