1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
759,798,843,179,353,541,259,0.9466,0.9511,1.11067,0.50708,2.08880,55.125,49.75,54.875,35.8,70.6,32.375,1
839,756,805,160,269,582,218,0.9391,1.1098,0.95948,0.59480,2.66972,63.875,63.25,58.375,32,53.8,27.25,1
482,627,1291,220,280,450,350,0.4857,0.7687,2.67842,0.78571,1.28571,82.25,20.875,60.625,44,56,43.75,1
947,486,967,302,395,205,595,0.5026,1.9486,1.02112,0.76456,0.34454,68.5,47.625,29.25,58.4,79,74.375,1
875,292,1233,156,316,265,535,0.2368,2.9966,1.40914,0.49367,0.49533,91.125,37,27.625,31.2,63.2,66.875,1
878,793,729,133,230,438,362,1.0878,1.1072,0.83030,0.57826,1.20994,44.625,53.5,43.75,26.6,46,45.25,1
966,342,1092,250,156,169,631,0.3132,2.8246,1.13043,1.60256,0.26783,81,44.5,23.75,50,31.2,78.875,1
1055,513,832,140,228,456,344,0.6166,2.0565,0.78863,0.61404,1.32558,67.375,63.375,31.5,28,45.6,43,1
1008,524,868,190,239,579,221,0.6037,1.9237,0.86111,0.79498,2.61991,60.875,52.375,26.375,38,47.8,27.625,1
1002,591,807,149,219,300,500,0.7323,1.6954,0.80539,0.68037,0.60000,63.5,62.625,37.375,29.8,43.8,62.5,1
940,542,918,148,325,179,621,0.5904,1.7343,0.97660,0.45538,0.28824,64.125,49.375,31.875,29.6,65,77.625,1
865,821,714,157,288,164,636,1.1499,1.0536,0.82543,0.54514,0.25786,46.625,57.375,49.25,31.4,57.6,79.5,1
782,756,862,227,324,386,414,0.8770,1.0344,1.10230,0.70062,0.93237,55.75,48,50.25,45.4,64.8,51.75,1
1021,460,919,270,237,187,613,0.5005,2.2196,0.90010,1.13924,0.30506,83.5,68.625,41,54,47.4,76.625,1
803,839,758,225,296,349,451,1.1069,0.9571,0.94396,0.76014,0.77384,52.75,58,57.625,45,59.2,56.375,1
1010,700,690,301,203,441,359,1.0145,1.4429,0.68317,1.48276,1.22841,39,52.75,26.5,60.2,40.6,44.875,1
754,647,999,170,289,264,536,0.6476,1.1654,1.32493,0.58824,0.49254,55.25,30.375,36.125,34,57.8,67,1
1103,460,837,166,249,378,422,0.5496,2.3978,0.75884,0.66667,0.89573,62.375,57.75,19.875,33.2,49.8,52.75,1
1002,698,700,120,365,491,309,0.9971,1.4355,0.69860,0.32877,1.58900,54.375,66.875,41.625,24,73,38.625,1
1330,238,832,72,266,475,325,0.2861,5.5882,0.62556,0.27068,1.46154,74.75,70.75,4.5,18.8,53.2,40.625,1
992,423,985,366,239,178,622,0.4294,2.3452,0.99294,1.53138,0.28617,67.75,44.625,20.625,73.2,47.8,77.75,1
828,403,1169,223,254,174,626,0.3447,2.0546,1.41184,0.87795,0.27796,79.625,33.5,30,44.6,50.8,78.25,1
1024,945,431,219,252,351,449,2.1926,1.0836,0.42090,0.86905,0.78174,38.75,84.875,56.875,43.8,50.4,56.125,1
789,747,864,214,340,67,733,0.8646,1.0562,1.09506,0.62941,0.09141,60.625,52.625,54,42.8,68,91.625,1
870,695,835,166,224,473,327,0.8323,1.2518,0.95977,0.74107,1.44648,57.625,53.25,44.5,33.2,44.8,40.875,1
1123,689,588,104,272,408,392,1.1718,1.6299,0.52360,0.38235,1.04082,44.25,70.75,30.375,20.8,54.4,49,1
1241,320,839,155,280,100,700,0.3814,3.8781,0.67607,0.55357,0.14286,70.625,65.75,10.625,31,56,87.5,1
1249,571,580,271,282,520,280,0.9845,2.1874,0.46437,0.96099,1.85714,47.625,75.125,19,54.2,56.4,35,1
910,592,898,245,412,318,482,0.6592,1.5372,0.98681,0.59466,0.65975,66.25,54,40.25,49,82.4,60.25,1
1253,494,653,268,299,337,463,0.7565,2.5364,0.52115,0.89632,0.72786,47.875,66.25,9.625,53.6,59.8,57.875,1
1169,367,864,164,183,287,513,0.4248,3.1853,0.73909,0.89617,0.55945,75.75,67.75,21.625,32.8,36.6,64.125,1
618,684,1098,237,177,294,506,0.6230,0.9035,1.77670,1.33898,0.58103,71.375,34.125,56.875,47.4,35.4,63.25,1
868,529,1003,115,306,269,531,0.5274,1.6408,1.15553,0.37582,0.50659,77.75,52.375,43.875,23,61.2,66.375,1
1305,414,681,161,140,308,492,0.6079,3.1522,0.52184,1.15000,0.62602,56,70.875,7.75,32.2,28,61.5,1
953,600,847,186,382,68,732,0.7084,1.5883,0.88877,0.48691,0.09290,68.75,62.875,43.75,37.2,76.4,91.5,1
1259,494,647,121,357,541,259,0.7635,2.5486,0.51390,0.33894,2.08880,58.125,77.25,19.875,24.2,71.4,32.375,1
782,836,782,162,228,642,158,1.0691,0.9354,1.00000,0.71053,4.06329,51.875,54.125,56.375,32.4,45.6,19.75,1
1090,600,710,180,195,345,455,0.8451,1.8167,0.65138,0.92308,0.75824,50.625,61.875,25.625,36,39,56.875,1
626,592,1182,229,336,228,572,0.5008,1.0574,1.88818,0.68155,0.39860,78.5,30.75,52.5,45.8,67.2,71.5,1
748,658,994,221,289,301,499,0.6620,1.1368,1.32888,0.76471,0.60321,72.75,48.5,55,44.2,57.8,62.375,1
940,366,1094,354,132,547,253,0.3346,2.5683,1.16383,2.68182,2.16206,83.5,46.75,29.25,70.8,26.4,31.625,1
1190,588,622,163,314,521,279,0.9453,2.0238,0.52269,0.51911,1.86738,59.875,82.125,33.375,32.6,62.8,34.875,1
779,837,784,373,286,479,321,1.0676,0.9307,1.00642,1.30420,1.49221,45.875,47.875,50.5,74.6,57.2,40.125,1
1074,284,1042,221,230,248,552,0.2726,3.7817,0.97020,0.96087,0.44928,81,50.75,16.5,44.2,46,69,1
1101,435,864,170,395,230,570,0.5035,2.5310,0.78474,0.43038,0.40351,67.5,59.5,21.875,34,79,71.25,1
1159,360,881,247,291,465,335,0.4086,3.2194,0.76014,0.84880,1.38806,78.5,68.375,23.5,49.4,58.2,41.875,1
980,582,838,339,259,233,567,0.6945,1.6838,0.85510,1.30888,0.41093,59.125,54.375,31.875,67.8,51.8,70.875,1
888,618,894,324,236,408,392,0.6913,1.4369,1.00676,1.37288,1.04082,56.75,45,34,64.8,47.2,49,1
1029,567,804,258,227,344,456,0.7052,1.8148,0.78134,1.13656,0.75439,59,58.5,29.875,51.6,45.4,57,1
1033,540,827,307,253,537,263,0.6530,1.9130,0.80058,1.21344,2.04183,59.125,55.75,26.625,61.4,50.6,32.875,1
586,876,938,321,400,311,489,0.9339,0.6689,1.60068,0.80250,0.63599,59,41.75,68.5,64.2,80,61.125,1
1322,118,960,400,100,100,700,0.1229,11.2034,0.72617,4.00000,0.14286,85.25,65.25,0,80,20,87.5,1
891,580,929,353,98,195,605,0.6243,1.5362,1.04265,3.60204,0.32231,67,50.875,39.5,70.6,19.6,75.625,1
830,407,1163,251,160,374,426,0.3500,2.0393,1.40120,1.56875,0.87793,75.625,30.25,26.5,50.2,32,53.25,1
870,712,818,239,212,459,341,0.8704,1.2219,0.94023,1.12736,1.34604,50.125,47.875,39.125,47.8,42.4,42.625,1
868,753,779,257,306,447,353,0.9666,1.1527,0.89747,0.83987,1.26629,53.25,55.875,47.375,51.4,61.2,44.125,1
960,523,917,292,312,142,658,0.5703,1.8356,0.95521,0.93590,0.21581,65.25,50.625,30.625,58.4,62.4,82.25,1
934,620,846,196,312,220,580,0.7329,1.5065,0.90578,0.62821,0.37931,60.625,54.875,38.125,39.2,62.4,72.5,1
1138,724,538,172,307,455,345,1.3457,1.5718,0.47276,0.56026,1.31884,27.75,60.5,18.25,34.4,61.4,43.125,1
790,614,996,298,401,275,525,0.6165,1.2866,1.26076,0.74314,0.52381,70.125,45.625,46.875,59.6,80.2,65.625,1
812,734,854,272,247,446,354,0.8595,1.1063,1.05172,1.10121,1.25989,59.875,53.125,51.625,54.4,49.4,44.25,1
836,853,711,300,198,405,395,1.1997,0.9801,0.85048,1.51515,1.02532,43.875,55,50.5,60,34.2,49.375,1
1345,195,860,370,281,80,720,0.2267,6.8974,0.63941,1.31673,0.11111,89.25,81.75,13.625,74,56.2,90,1
992,508,900,315,123,288,512,0.5644,1.9528,0.90726,2.56098,0.56250,78,65.5,41.5,63,24.6,64,1
773,684,943,297,237,662,138,0.7253,1.1301,1.21992,1.25316,4.79710,64.25,46.375,49.75,59.4,47.4,17.25,1
944,420,1036,232,224,329,471,0.4054,2.2476,1.09746,1.03571,0.69851,73.375,43.875,25.875,46.4,44.8,58.875,1
1054,696,650,251,197,563,237,1.0708,1.5144,0.61670,1.27411,2.37553,40.625,59.375,27.625,50.2,39.4,29.625,1
688,457,1255,255,171,225,575,0.3641,1.5055,1.82413,1.49123,0.39130,81.375,24.5,38.5,51,34.2,71.875,1
618,952,830,401,407,376,424,1.1470,0.6492,1.34304,0.98526,0.88679,45.375,41.625,64.375,80.2,81.4,53,1
661,774,965,272,249,258,542,0.8021,0.8540,1.45991,1.09237,0.47601,55.375,34.75,52.125,54.4,49.8,67.75,1
992,610,798,371,272,479,321,0.7644,1.6262,0.80444,1.36397,1.49221,58.875,59.125,35.125,74.2,54.4,40.125,1
825,751,824,123,365,433,367,0.9114,1.0985,0.99879,0.33699,1.17984,53.375,50.375,47.25,29.2,73,45.875,1
1168,563,669,195,228,309,491,0.8416,2.0746,0.57277,0.85526,0.62933,60.25,76.625,30.625,39,45.6,61.375,1
1278,771,351,200,206,736,64,2.1966,1.6576,0.27465,0.97087,11.50000,31.5,87.625,27.875,40,41.2,8,1
981,547,872,257,360,264,536,0.6273,1.7934,0.88889,0.71389,0.49254,57.375,48.375,25.75,51.4,72,67,1
979,433,988,205,298,344,456,0.4383,2.2610,1.00919,0.68792,0.75439,77.125,53.625,31.25,41,59.6,57,1
1359,298,743,271,190,34,766,0.4011,4.5604,0.54673,1.42632,0.04439,65.25,72.375,2.5,54.2,38,95.75,1
886,590,924,214,208,301,499,0.6385,1.5017,1.04289,1.02885,0.60321,69.75,54.25,43.5,42.8,41.6,62.375,1
760,991,649,240,198,443,357,1.5270,0.7669,0.85395,1.21212,1.24090,32,50.875,55.875,48,39.6,44.625,1
1013,512,875,133,354,363,437,0.5851,1.9785,0.86377,0.37571,0.83066,57.25,47.875,21.25,26.6,70.8,54.625,1
1128,599,673,222,308,321,479,0.8900,1.8831,0.59663,0.72078,0.67015,46,61.875,20.875,44.4,61.6,59.875,1
1001,352,1047,321,370,262,538,0.3362,2.8438,1.04595,0.86757,0.48699,68.875,38,12.875,64.2,74,67.25,1
840,639,921,355,239,333,467,0.6938,1.3146,1.09643,1.48536,0.71306,64,48.875,43.875,71,47.8,58.375,1
