1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
966,342,1092,250,156,169,631,0.3132,2.8246,1.13043,1.60256,0.26783,81.00,44.50,23.75,50.00,31.20,78.88,0
828,403,1169,223,254,174,626,0.3447,2.0546,1.41184,0.87795,0.27796,79.63,33.50,30.00,44.60,50.80,78.25,0
868,529,1003,115,306,269,531,0.5274,1.6408,1.15553,0.37582,0.50659,77.75,52.38,43.88,23.00,61.20,66.38,0
1259,494,647,121,357,541,259,0.7635,2.5486,0.51390,0.33894,2.08880,58.13,77.25,19.88,24.20,71.40,32.38,0
1090,600,710,180,195,345,455,0.8451,1.8167,0.65138,0.92308,0.75824,50.63,61.88,25.63,36.00,39.00,56.88,0
888,618,894,324,236,408,392,0.6913,1.4369,1.00676,1.37288,1.04082,56.75,45.00,34.00,64.80,47.20,49.00,0
992,508,900,315,123,288,512,0.5644,1.9528,0.90726,2.56098,0.56250,78.00,65.50,41.50,63.00,24.60,64.00,0
773,684,943,297,237,662,138,0.7253,1.1301,1.21992,1.25316,4.79710,64.25,46.38,49.75,59.40,47.40,17.25,0
1054,696,650,251,197,563,237,1.0708,1.5144,0.61670,1.27411,2.37553,40.63,59.38,27.63,50.20,39.40,29.63,0
688,457,1255,255,171,225,575,0.3641,1.5055,1.82413,1.49123,0.39130,81.38,24.50,38.50,51.00,34.20,71.88,0
661,774,965,272,249,258,542,0.8021,0.8540,1.45991,1.09237,0.47601,55.38,34.75,52.13,54.40,49.80,67.75,0
1359,298,743,271,190,34,766,0.4011,4.5604,0.54673,1.42632,0.04439,65.25,72.38,2.50,54.20,38.00,95.75,0
840,639,921,355,239,333,467,0.6938,1.3146,1.09643,1.48536,0.71306,64.00,48.88,43.88,71.00,47.80,58.38,0
900,785,715,251,250,587,213,1.0979,1.1465,0.79444,1.00400,2.75587,43.50,54.13,41.63,50.20,50.00,26.63,0
1013,583,804,131,434,439,361,0.7251,1.7376,0.79368,0.30184,1.21607,52.25,51.75,25.13,26.20,86.80,45.13,0
690,476,1234,271,421,231,569,0.3857,1.4496,1.78841,0.64371,0.40598,88.88,34.63,48.38,54.20,84.20,71.13,0
926,682,792,101,191,185,615,0.8611,1.3578,0.85529,0.52880,0.30081,60.75,61.75,46.00,20.20,38.20,76.88,0
1087,552,761,266,334,315,485,0.7254,1.9692,0.70009,0.79641,0.64948,53.00,57.88,22.00,53.20,66.80,60.63,0
764,605,1031,264,230,385,415,0.5868,1.2628,1.34948,1.14783,0.92771,72.00,43.13,47.63,52.80,46.00,51.88,0
976,762,662,327,283,582,218,1.1511,1.2808,0.67828,1.15548,2.66972,43.25,60.50,38.50,65.40,56.60,27.25,0
791,1038,571,387,250,610,190,1.8179,0.7620,0.72187,1.54800,3.21053,30.13,58.75,59.88,77.40,50.00,23.75,0
1067,866,467,197,285,324,476,1.8544,1.2321,0.43768,0.69123,0.68067,45.25,86.88,53.50,39.40,57.00,59.50,0
850,736,814,270,391,265,535,0.9042,1.1549,0.95765,0.69054,0.49533,57.38,55.63,49.38,54.00,78.20,66.88,0
1145,645,610,215,242,474,326,1.0574,1.7752,0.53275,0.88843,1.45399,40.13,63.88,20.75,43.00,48.40,40.75,0
1036,594,770,207,375,663,137,0.7714,1.7441,0.74324,0.55200,4.83942,55.63,59.38,29.88,41.40,75.00,17.13,0
1397,605,398,297,241,350,450,1.5201,2.3091,0.28490,1.23237,0.77778,33.38,83.63,9.00,59.40,48.20,56.25,0
1181,390,829,351,310,166,634,0.4704,3.0282,0.70195,1.13226,0.26183,74.50,70.88,23.25,70.20,62.00,79.25,0
1213,108,1079,313,426,100,700,0.1001,11.2315,0.88953,0.73474,0.14286,93.88,59.00,7.38,62.60,85.20,87.50,0
1074,735,591,121,194,318,482,1.2437,1.4612,0.55028,0.62371,0.65975,45.38,71.50,37.25,40.00,38.80,60.25,1
1055,513,832,140,228,456,344,0.6166,2.0565,0.78863,0.61404,1.32558,67.38,63.38,31.50,28.00,45.60,43.00,1
1002,591,807,149,219,300,500,0.7323,1.6954,0.80539,0.68037,0.60000,63.50,62.63,37.38,29.80,43.80,62.50,1
940,542,918,148,325,179,621,0.5904,1.7343,0.97660,0.45538,0.28824,64.13,49.38,31.88,29.60,65.00,77.63,1
782,836,782,162,228,642,158,1.0691,0.9354,1.00000,0.71053,4.06329,51.88,54.13,56.38,32.40,45.60,19.75,1
836,853,711,300,198,405,395,1.1997,0.9801,0.85048,1.51515,1.02532,43.88,55.00,50.50,60.00,34.20,49.38,1
992,610,798,371,272,479,321,0.7644,1.6262,0.80444,1.36397,1.49221,58.88,59.13,35.13,74.20,54.40,40.13,1
753,714,933,300,338,463,337,0.7653,1.0546,1.23904,0.88757,1.37389,67.50,50.88,56.75,60.00,67.60,42.13,1
754,419,1227,330,313,383,417,0.3415,1.7995,1.62732,1.05431,0.91847,80.75,27.38,33.13,66.00,62.60,52.13,1
1232,941,227,371,217,320,480,4.1454,1.3092,0.18425,1.70968,0.66667,16.13,87.75,33.75,74.20,43.40,60.00,1
911,694,795,276,334,239,561,0.8730,1.3127,0.87267,0.82635,0.42602,62.00,62.63,48.75,75.20,66.80,70.13,1
1006,420,974,140,203,492,308,0.4312,2.3952,0.96819,0.68966,1.59740,73.00,51.25,25.50,28.00,40.60,38.50,1
1146,542,712,395,213,433,367,0.7612,2.1144,0.62129,1.85446,1.17984,62.38,73.38,30.13,62.20,59.40,45.88,1
817,773,810,159,261,492,308,0.9543,1.0569,0.99143,0.60920,1.59740,46.00,44.75,42.63,31.80,52.20,38.50,1
954,726,720,346,242,388,412,1.0083,1.3140,0.75472,1.42975,0.94175,49.75,59.75,40.50,69.20,48.40,51.50,1
1260,1036,104,284,283,492,308,9.9615,1.2162,0.08254,1.00353,1.59740,7.38,94.38,36.88,56.80,56.60,38.50,1
947,572,881,437,310,527,273,0.6493,1.6556,0.93031,1.40968,1.93040,68.00,57.88,39.50,87.40,62.00,34.13,1
1125,1027,248,27,207,724,76,4.1411,1.0954,0.22044,0.13043,9.52632,9.50,78.50,37.88,5.40,41.40,9.50,1
1480,445,475,179,295,599,201,0.9368,3.3258,0.32095,0.60678,2.98010,53.50,94.13,9.13,35.80,59.00,25.13,1
968,736,696,243,232,537,263,1.0575,1.3152,0.71901,1.04741,2.04183,40.50,53.50,32.50,48.60,46.40,32.88,1
946,553,901,355,328,457,343,0.6138,1.7107,0.95243,1.08232,1.33236,57.00,44.38,26.13,71.00,65.60,42.88,1
956,760,684,410,192,418,382,1.1111,1.2579,0.71548,2.13542,1.09424,41.88,56.38,36.88,82.00,38.40,47.75,1
1120,800,480,275,465,590,210,1.6667,1.4000,0.42857,0.59140,2.80952,42.50,82.50,42.50,55.00,93.00,26.25,1
863,965,572,230,235,405,395,1.6871,0.8943,0.66280,0.97872,1.02532,30.13,58.63,50.75,46.00,47.00,49.38,1
962,934,504,391,231,506,294,1.8532,1.0300,0.52391,1.69264,1.72109,41.88,78.88,58.63,78.20,32.80,36.75,1
681,990,729,481,272,692,108,1.3580,0.6879,1.07048,1.76838,6.40741,27.63,36.50,51.38,96.20,54.40,13.50,1
1224,362,814,210,287,411,389,0.4447,3.3812,0.66503,0.73171,1.05656,71.75,70.00,17.00,42.00,57.40,48.63,1
1092,1083,225,500,305,323,477,4.8133,1.0083,0.20604,1.63934,0.67715,12.38,84.25,47.75,100.00,61.00,59.63,1
