1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
966,342,1092,250,156,169,631,0.3132,2.8246,1.13043,1.60256,0.26783,81.00,44.50,23.75,50.00,31.20,78.88,1
992,508,900,315,123,288,512,0.5644,1.9528,0.90726,2.56098,0.56250,78.00,65.50,41.50,63.00,24.60,64.00,1
947,572,881,437,310,527,273,0.6493,1.6556,0.93031,1.40968,1.93040,68.00,57.88,39.50,87.40,62.00,34.13,1
1120,800,480,275,465,590,210,1.6667,1.4000,0.42857,0.59140,2.80952,42.50,82.50,42.50,55.00,93.00,26.25,1
863,965,572,230,235,405,395,1.6871,0.8943,0.66280,0.97872,1.02532,30.13,58.63,50.75,46.00,47.00,49.38,1
729,802,869,266,248,297,503,0.9229,0.9090,1.19204,1.07258,0.59046,56.38,47.75,56.63,53.20,49.60,62.88,1
618,684,1098,237,177,294,506,0.6230,0.9035,1.77670,1.33898,0.58103,71.38,34.13,56.88,47.40,35.40,63.25,1
891,580,929,353,98,195,605,0.6243,1.5362,1.04265,3.60204,0.32231,67.00,50.88,39.50,70.60,19.60,75.63,1
1345,195,860,370,281,80,720,0.2267,6.8974,0.63941,1.31673,0.11111,89.25,81.75,13.63,74.00,56.20,90.00,1
618,952,830,401,407,376,424,1.1470,0.6492,1.34304,0.98526,0.88679,45.38,41.63,64.38,80.20,81.40,53.00,1
979,433,988,205,298,344,456,0.4383,2.2610,1.00919,0.68792,0.75439,77.13,53.63,31.25,41.00,59.60,57.00,1
1001,352,1047,321,370,262,538,0.3362,2.8438,1.04595,0.86757,0.48699,68.88,38.00,12.88,64.20,74.00,67.25,1
1162,400,838,298,380,299,501,0.4773,2.9050,0.72117,0.78421,0.59681,67.25,62.50,17.25,59.60,76.00,62.63,1
1285,470,645,417,236,408,392,0.7287,2.7340,0.50195,1.76695,1.04082,54.13,73.50,12.88,83.40,47.20,49.00,1
1039,228,1133,141,274,205,595,0.2012,4.5570,1.09047,0.51460,0.34454,90.13,48.50,18.63,28.20,54.80,74.38,1
1022,614,764,112,353,177,623,0.8037,1.6645,0.74755,0.31728,0.28411,68.88,73.38,45.63,22.40,70.60,77.88,1
916,663,821,249,385,507,293,0.8076,1.3816,0.89629,0.64675,1.73038,65.00,62.38,47.88,49.80,77.00,36.63,1
633,581,1186,320,183,148,652,0.4899,1.0895,1.87362,1.74863,0.22699,70.75,22.50,43.38,64.00,36.60,81.50,1
661,774,965,272,249,258,542,0.8021,0.8540,1.45991,1.09237,0.47601,55.38,34.75,52.13,54.40,49.80,67.75,1
